Epoch 00093 | Loss 0.2807 | Accuracy 0.9217 | Time : 3.9288 | loop 2.1088 | Model 1.8199 | x_y_time 0.0003 | pred 1.2777 | loss_time 0.0188
Epoch 00094 | Loss 0.2776 | Accuracy 0.9210 | Time : 3.9289 | loop 2.1091 | Model 1.8197 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0186
Epoch 00095 | Loss 0.2776 | Accuracy 0.9208 | Time : 3.9276 | loop 2.1086 | Model 1.8190 | x_y_time 0.0003 | pred 1.2768 | loss_time 0.0187
Epoch 00096 | Loss 0.2761 | Accuracy 0.9216 | Time : 3.9359 | loop 2.1142 | Model 1.8216 | x_y_time 0.0003 | pred 1.2779 | loss_time 0.0188
Epoch 00097 | Loss 0.2757 | Accuracy 0.9210 | Time : 3.9297 | loop 2.1096 | Model 1.8201 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0186
Epoch 00098 | Loss 0.2724 | Accuracy 0.9217 | Time : 3.9277 | loop 2.1088 | Model 1.8188 | x_y_time 0.0003 | pred 1.2769 | loss_time 0.0186
Epoch 00099 | Loss 0.2701 | Accuracy 0.9218 | Time : 3.9281 | loop 2.1089 | Model 1.8191 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0185
total for loop time, total model time, total loss time, total_training_time
211.0162, 182.6907, 1.8680, 393.7130
Test Accuracy 0.9602
