cuda, sapmling, time:, 0.001054
cuda, sapmling, time:, 0.000063
cuda, sapmling, time:, 0.001574
cuda, sapmling, time:, 0.001641
cuda, sapmling, time:, 0.000157
cuda, sapmling, time:, 0.001484
cuda, sapmling, time:, 0.001646
cuda, sapmling, time:, 0.000059
cuda, sapmling, time:, 0.000200
cuda, sapmling, time:, 0.000445
cuda, sapmling, time:, 0.000072
cuda, sapmling, time:, 0.000591
cuda, sapmling, time:, 0.001757
cuda, sapmling, time:, 0.000047
cuda, sapmling, time:, 0.000281
cuda, sapmling, time:, 0.000471
cuda, sapmling, time:, 0.000024
cuda, sapmling, time:, 0.000033
cuda, sapmling, time:, 0.000080
