cuda, sapmling, time:, 0.003101
cuda, sapmling, time:, 0.011784
cuda, sapmling, time:, 0.024280
cuda, sapmling, time:, 0.001865
cuda, sapmling, time:, 0.008047
cuda, sapmling, time:, 0.026028
cuda, sapmling, time:, 0.001473
cuda, sapmling, time:, 0.012360
cuda, sapmling, time:, 0.024927
cuda, sapmling, time:, 0.001834
cuda, sapmling, time:, 0.011209
cuda, sapmling, time:, 0.023587
cuda, sapmling, time:, 0.003634
cuda, sapmling, time:, 0.007420
cuda, sapmling, time:, 0.025037
cuda, sapmling, time:, 0.001379
cuda, sapmling, time:, 0.007241
cuda, sapmling, time:, 0.024890
cuda, sapmling, time:, 0.001452
cuda, sapmling, time:, 0.007745
cuda, sapmling, time:, 0.025549
cuda, sapmling, time:, 0.001101
cuda, sapmling, time:, 0.007871
cuda, sapmling, time:, 0.025432
cuda, sapmling, time:, 0.001034
cuda, sapmling, time:, 0.007871
cuda, sapmling, time:, 0.024949
cuda, sapmling, time:, 0.001065
cuda, sapmling, time:, 0.012669
cuda, sapmling, time:, 0.024810
cuda, sapmling, time:, 0.001093
cuda, sapmling, time:, 0.007646
cuda, sapmling, time:, 0.024748
cuda, sapmling, time:, 0.001970
cuda, sapmling, time:, 0.007228
cuda, sapmling, time:, 0.026629
cuda, sapmling, time:, 0.001101
cuda, sapmling, time:, 0.007448
cuda, sapmling, time:, 0.025938
cuda, sapmling, time:, 0.001669
cuda, sapmling, time:, 0.012207
cuda, sapmling, time:, 0.024784
cuda, sapmling, time:, 0.001192
cuda, sapmling, time:, 0.007514
cuda, sapmling, time:, 0.024945
cuda, sapmling, time:, 0.001479
cuda, sapmling, time:, 0.011588
cuda, sapmling, time:, 0.024663
cuda, sapmling, time:, 0.001322
cuda, sapmling, time:, 0.007105
cuda, sapmling, time:, 0.024815
cuda, sapmling, time:, 0.001626
cuda, sapmling, time:, 0.011800
cuda, sapmling, time:, 0.024266
cuda, sapmling, time:, 0.001280
cuda, sapmling, time:, 0.007094
cuda, sapmling, time:, 0.026717
cuda, sapmling, time:, 0.001347
cuda, sapmling, time:, 0.012483
cuda, sapmling, time:, 0.024499
cuda, sapmling, time:, 0.001715
cuda, sapmling, time:, 0.012254
cuda, sapmling, time:, 0.024661
cuda, sapmling, time:, 0.001380
cuda, sapmling, time:, 0.007573
cuda, sapmling, time:, 0.024754
cuda, sapmling, time:, 0.001307
cuda, sapmling, time:, 0.012304
cuda, sapmling, time:, 0.024719
cuda, sapmling, time:, 0.001829
cuda, sapmling, time:, 0.011159
cuda, sapmling, time:, 0.024098
cuda, sapmling, time:, 0.003540
cuda, sapmling, time:, 0.007626
cuda, sapmling, time:, 0.026377
cuda, sapmling, time:, 0.001020
cuda, sapmling, time:, 0.012470
cuda, sapmling, time:, 0.024251
cuda, sapmling, time:, 0.001088
cuda, sapmling, time:, 0.007550
cuda, sapmling, time:, 0.025173
cuda, sapmling, time:, 0.003748
cuda, sapmling, time:, 0.008072
cuda, sapmling, time:, 0.026772
cuda, sapmling, time:, 0.001978
cuda, sapmling, time:, 0.011263
cuda, sapmling, time:, 0.023762
cuda, sapmling, time:, 0.001001
cuda, sapmling, time:, 0.007376
cuda, sapmling, time:, 0.025189
cuda, sapmling, time:, 0.001592
cuda, sapmling, time:, 0.007803
cuda, sapmling, time:, 0.025993
cuda, sapmling, time:, 0.001036
cuda, sapmling, time:, 0.011710
cuda, sapmling, time:, 0.024653
cuda, sapmling, time:, 0.001908
cuda, sapmling, time:, 0.007938
cuda, sapmling, time:, 0.025814
cuda, sapmling, time:, 0.001725
cuda, sapmling, time:, 0.011439
